x,T_0.00s,T_0.20s,T_0.40s,T_0.60s,T_0.80s,T_1.00s,T_1.20s,T_1.40s,T_1.60s,T_1.80s,T_2.00s
0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
0.05,0.00,42.71,57.26,64.57,69.09,72.24,74.59,76.43,77.92,79.16,80.21
0.10,0.00,12.84,26.58,36.07,42.80,47.83,51.75,54.91,57.53,59.74,61.64
0.15,0.00,2.90,10.12,17.43,23.70,28.92,33.28,36.96,40.12,42.87,45.27
0.20,0.00,0.52,3.22,7.32,11.73,15.94,19.80,23.27,26.39,29.20,31.73
0.25,0.00,0.08,0.87,2.70,5.21,8.03,10.90,13.69,16.35,18.85,21.19
0.30,0.00,0.01,0.20,0.88,2.09,3.70,5.55,7.53,9.54,11.54,13.48
0.35,0.00,0.00,0.04,0.26,0.76,1.56,2.62,3.87,5.24,6.69,8.17
0.40,0.00,0.00,0.01,0.07,0.25,0.61,1.15,1.86,2.72,3.67,4.71
0.45,0.00,0.00,0.00,0.02,0.08,0.22,0.47,0.84,1.33,1.91,2.59
0.50,0.00,0.00,0.00,0.00,0.02,0.07,0.18,0.36,0.61,0.95,1.36
0.55,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.14,0.27,0.45,0.68
0.60,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.20,0.32
0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.08,0.15
0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.06
0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03
0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
